Navn,Dato,Til tidspunkt,Felt,Trafikkmengde,< 5.6m,>= 5.6m,5.6m - 7.6m,7.6m - 12.5m,12.5m - 16.0m,>= 16.0m,16.0m - 24.0m,>= 24.0m,>=7.6m
Hydrovegen,16.03.2023,1:00,1,7,4,3,3,0,0,0,0,0,0
Hydrovegen,16.03.2023,1:00,2,6,4,2,2,0,0,0,0,0,0
Hydrovegen,16.03.2023,1:00,Totalt i retning Herøya industripark,7,4,3,3,0,0,0,0,0,0
Hydrovegen,16.03.2023,1:00,Totalt i retning Kulltangen,6,4,2,2,0,0,0,0,0,0
Hydrovegen,16.03.2023,1:00,Totalt,13,8,5,5,0,0,0,0,0,0
Hydrovegen,16.03.2023,2:00,1,4,3,1,1,0,0,0,0,0,0
Hydrovegen,16.03.2023,2:00,2,5,3,2,1,0,0,1,1,0,1
Hydrovegen,16.03.2023,2:00,Totalt i retning Herøya industripark,4,3,1,1,0,0,0,0,0,0
Hydrovegen,16.03.2023,2:00,Totalt i retning Kulltangen,5,3,2,1,0,0,1,1,0,1
Hydrovegen,16.03.2023,2:00,Totalt,9,6,3,2,0,0,1,1,0,1
Hydrovegen,16.03.2023,3:00,1,1,1,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,3:00,2,1,1,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,3:00,Totalt i retning Herøya industripark,1,1,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,3:00,Totalt i retning Kulltangen,1,1,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,3:00,Totalt,2,2,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,4:00,1,2,2,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,4:00,2,4,2,2,1,1,0,0,0,0,1
Hydrovegen,16.03.2023,4:00,Totalt i retning Herøya industripark,2,2,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,4:00,Totalt i retning Kulltangen,4,2,2,1,1,0,0,0,0,1
Hydrovegen,16.03.2023,4:00,Totalt,6,4,2,1,1,0,0,0,0,1
Hydrovegen,16.03.2023,5:00,1,7,5,2,1,1,0,0,0,0,1
Hydrovegen,16.03.2023,5:00,2,7,3,2,2,0,0,0,0,0,0
Hydrovegen,16.03.2023,5:00,Totalt i retning Herøya industripark,7,5,2,1,1,0,0,0,0,1
Hydrovegen,16.03.2023,5:00,Totalt i retning Kulltangen,7,3,2,2,0,0,0,0,0,0
Hydrovegen,16.03.2023,5:00,Totalt,14,8,4,3,1,0,0,0,0,1
Hydrovegen,16.03.2023,6:00,1,51,47,4,2,0,1,1,1,0,2
Hydrovegen,16.03.2023,6:00,2,13,7,6,2,3,0,1,1,0,4
Hydrovegen,16.03.2023,6:00,Totalt i retning Herøya industripark,51,47,4,2,0,1,1,1,0,2
Hydrovegen,16.03.2023,6:00,Totalt i retning Kulltangen,13,7,6,2,3,0,1,1,0,4
Hydrovegen,16.03.2023,6:00,Totalt,64,54,10,4,3,1,2,2,0,6
Hydrovegen,16.03.2023,7:00,1,477,453,24,18,2,1,3,3,0,6
Hydrovegen,16.03.2023,7:00,2,82,42,29,24,3,2,0,0,0,5
Hydrovegen,16.03.2023,7:00,Totalt i retning Herøya industripark,477,453,24,18,2,1,3,3,0,6
Hydrovegen,16.03.2023,7:00,Totalt i retning Kulltangen,82,42,29,24,3,2,0,0,0,5
Hydrovegen,16.03.2023,7:00,Totalt,559,495,53,42,5,3,3,3,0,11
Hydrovegen,16.03.2023,8:00,1,485,443,42,14,11,5,12,12,0,28
Hydrovegen,16.03.2023,8:00,2,131,64,33,19,3,5,6,6,0,14
Hydrovegen,16.03.2023,8:00,Totalt i retning Herøya industripark,485,443,42,14,11,5,12,12,0,28
Hydrovegen,16.03.2023,8:00,Totalt i retning Kulltangen,131,64,33,19,3,5,6,6,0,14
Hydrovegen,16.03.2023,8:00,Totalt,616,507,75,33,14,10,18,18,0,42
Hydrovegen,16.03.2023,9:00,1,248,192,55,20,12,3,20,20,0,35
Hydrovegen,16.03.2023,9:00,2,135,44,70,40,16,5,9,9,0,30
Hydrovegen,16.03.2023,9:00,Totalt i retning Herøya industripark,248,192,55,20,12,3,20,20,0,35
Hydrovegen,16.03.2023,9:00,Totalt i retning Kulltangen,135,44,70,40,16,5,9,9,0,30
Hydrovegen,16.03.2023,9:00,Totalt,383,236,125,60,28,8,29,29,0,65
Hydrovegen,16.03.2023,10:00,1,135,97,38,8,11,3,16,16,0,30
Hydrovegen,16.03.2023,10:00,2,112,47,60,31,7,1,21,21,0,29
Hydrovegen,16.03.2023,10:00,Totalt i retning Herøya industripark,135,97,38,8,11,3,16,16,0,30
Hydrovegen,16.03.2023,10:00,Totalt i retning Kulltangen,112,47,60,31,7,1,21,21,0,29
Hydrovegen,16.03.2023,10:00,Totalt,247,144,98,39,18,4,37,37,0,59
Hydrovegen,16.03.2023,11:00,1,143,103,40,10,8,3,19,19,0,30
Hydrovegen,16.03.2023,11:00,2,131,66,57,33,9,1,14,14,0,24
Hydrovegen,16.03.2023,11:00,Totalt i retning Herøya industripark,143,103,40,10,8,3,19,19,0,30
Hydrovegen,16.03.2023,11:00,Totalt i retning Kulltangen,131,66,57,33,9,1,14,14,0,24
Hydrovegen,16.03.2023,11:00,Totalt,274,169,97,43,17,4,33,33,0,54
Hydrovegen,16.03.2023,12:00,1,135,101,34,11,9,2,12,12,0,23
Hydrovegen,16.03.2023,12:00,2,150,69,69,43,9,1,16,16,0,26
Hydrovegen,16.03.2023,12:00,Totalt i retning Herøya industripark,135,101,34,11,9,2,12,12,0,23
Hydrovegen,16.03.2023,12:00,Totalt i retning Kulltangen,150,69,69,43,9,1,16,16,0,26
Hydrovegen,16.03.2023,12:00,Totalt,285,170,103,54,18,3,28,28,0,49
Hydrovegen,16.03.2023,13:00,1,134,93,41,14,6,5,16,16,0,27
Hydrovegen,16.03.2023,13:00,2,133,61,63,35,11,0,17,17,0,28
Hydrovegen,16.03.2023,13:00,Totalt i retning Herøya industripark,134,93,41,14,6,5,16,16,0,27
Hydrovegen,16.03.2023,13:00,Totalt i retning Kulltangen,133,61,63,35,11,0,17,17,0,28
Hydrovegen,16.03.2023,13:00,Totalt,267,154,104,49,17,5,33,33,0,55
Hydrovegen,16.03.2023,14:00,1,183,147,36,9,10,8,9,9,0,27
Hydrovegen,16.03.2023,14:00,2,173,88,69,42,9,1,17,16,1,27
Hydrovegen,16.03.2023,14:00,Totalt i retning Herøya industripark,183,147,36,9,10,8,9,9,0,27
Hydrovegen,16.03.2023,14:00,Totalt i retning Kulltangen,173,88,69,42,9,1,17,16,1,27
Hydrovegen,16.03.2023,14:00,Totalt,356,235,105,51,19,9,26,25,1,54
Hydrovegen,16.03.2023,15:00,1,200,160,40,8,10,6,16,16,0,32
Hydrovegen,16.03.2023,15:00,2,325,200,106,74,12,4,16,16,0,32
Hydrovegen,16.03.2023,15:00,Totalt i retning Herøya industripark,200,160,40,8,10,6,16,16,0,32
Hydrovegen,16.03.2023,15:00,Totalt i retning Kulltangen,325,200,106,74,12,4,16,16,0,32
Hydrovegen,16.03.2023,15:00,Totalt,525,360,146,82,22,10,32,32,0,64
Hydrovegen,16.03.2023,16:00,1,156,135,21,3,6,3,9,9,0,18
Hydrovegen,16.03.2023,16:00,2,152,99,45,40,0,1,4,4,0,5
Hydrovegen,16.03.2023,16:00,Totalt i retning Herøya industripark,156,135,21,3,6,3,9,9,0,18
Hydrovegen,16.03.2023,16:00,Totalt i retning Kulltangen,152,99,45,40,0,1,4,4,0,5
Hydrovegen,16.03.2023,16:00,Totalt,308,234,66,43,6,4,13,13,0,23
Hydrovegen,16.03.2023,17:00,1,128,114,14,4,5,3,2,2,0,10
Hydrovegen,16.03.2023,17:00,2,225,169,43,34,1,3,5,5,0,9
Hydrovegen,16.03.2023,17:00,Totalt i retning Herøya industripark,128,114,14,4,5,3,2,2,0,10
Hydrovegen,16.03.2023,17:00,Totalt i retning Kulltangen,225,169,43,34,1,3,5,5,0,9
Hydrovegen,16.03.2023,17:00,Totalt,353,283,57,38,6,6,7,7,0,19
Hydrovegen,16.03.2023,18:00,1,68,60,8,1,3,2,2,1,1,7
Hydrovegen,16.03.2023,18:00,2,91,67,19,12,2,2,3,3,0,7
Hydrovegen,16.03.2023,18:00,Totalt i retning Herøya industripark,68,60,8,1,3,2,2,1,1,7
Hydrovegen,16.03.2023,18:00,Totalt i retning Kulltangen,91,67,19,12,2,2,3,3,0,7
Hydrovegen,16.03.2023,18:00,Totalt,159,127,27,13,5,4,5,4,1,14
Hydrovegen,16.03.2023,19:00,1,70,61,9,5,1,1,2,2,0,4
Hydrovegen,16.03.2023,19:00,2,58,48,9,6,2,0,1,1,0,3
Hydrovegen,16.03.2023,19:00,Totalt i retning Herøya industripark,70,61,9,5,1,1,2,2,0,4
Hydrovegen,16.03.2023,19:00,Totalt i retning Kulltangen,58,48,9,6,2,0,1,1,0,3
Hydrovegen,16.03.2023,19:00,Totalt,128,109,18,11,3,1,3,3,0,7
Hydrovegen,16.03.2023,20:00,1,55,50,5,0,0,1,4,4,0,5
Hydrovegen,16.03.2023,20:00,2,17,11,6,1,3,1,1,1,0,5
Hydrovegen,16.03.2023,20:00,Totalt i retning Herøya industripark,55,50,5,0,0,1,4,4,0,5
Hydrovegen,16.03.2023,20:00,Totalt i retning Kulltangen,17,11,6,1,3,1,1,1,0,5
Hydrovegen,16.03.2023,20:00,Totalt,72,61,11,1,3,2,5,5,0,10
Hydrovegen,16.03.2023,21:00,1,36,32,4,1,2,1,0,0,0,3
Hydrovegen,16.03.2023,21:00,2,6,5,1,1,0,0,0,0,0,0
Hydrovegen,16.03.2023,21:00,Totalt i retning Herøya industripark,36,32,4,1,2,1,0,0,0,3
Hydrovegen,16.03.2023,21:00,Totalt i retning Kulltangen,6,5,1,1,0,0,0,0,0,0
Hydrovegen,16.03.2023,21:00,Totalt,42,37,5,2,2,1,0,0,0,3
Hydrovegen,16.03.2023,22:00,1,45,35,10,2,5,1,2,2,0,8
Hydrovegen,16.03.2023,22:00,2,2,2,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,22:00,Totalt i retning Herøya industripark,45,35,10,2,5,1,2,2,0,8
Hydrovegen,16.03.2023,22:00,Totalt i retning Kulltangen,2,2,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,22:00,Totalt,47,37,10,2,5,1,2,2,0,8
Hydrovegen,16.03.2023,23:00,1,53,50,3,2,1,0,0,0,0,1
Hydrovegen,16.03.2023,23:00,2,1,1,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,23:00,Totalt i retning Herøya industripark,53,50,3,2,1,0,0,0,0,1
Hydrovegen,16.03.2023,23:00,Totalt i retning Kulltangen,1,1,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,23:00,Totalt,54,51,3,2,1,0,0,0,0,1
Hydrovegen,16.03.2023,0:00,1,12,9,3,2,1,0,0,0,0,1
Hydrovegen,16.03.2023,0:00,2,0,0,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,0:00,Totalt i retning Herøya industripark,12,9,3,2,1,0,0,0,0,1
Hydrovegen,16.03.2023,0:00,Totalt i retning Kulltangen,0,0,0,0,0,0,0,0,0,0
Hydrovegen,16.03.2023,0:00,Totalt,12,9,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,1:00,1,4,3,1,1,0,0,0,0,0,0
Hydrovegen,17.03.2023,1:00,2,0,0,0,0,0,0,0,0,0,0
Hydrovegen,17.03.2023,1:00,Totalt i retning Herøya industripark,4,3,1,1,0,0,0,0,0,0
Hydrovegen,17.03.2023,1:00,Totalt i retning Kulltangen,0,0,0,0,0,0,0,0,0,0
Hydrovegen,17.03.2023,1:00,Totalt,4,3,1,1,0,0,0,0,0,0
Hydrovegen,17.03.2023,2:00,1,4,1,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,2:00,2,1,1,0,0,0,0,0,0,0,0
Hydrovegen,17.03.2023,2:00,Totalt i retning Herøya industripark,4,1,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,2:00,Totalt i retning Kulltangen,1,1,0,0,0,0,0,0,0,0
Hydrovegen,17.03.2023,2:00,Totalt,5,2,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,3:00,1,7,4,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,3:00,2,7,1,6,3,2,1,0,0,0,3
Hydrovegen,17.03.2023,3:00,Totalt i retning Herøya industripark,7,4,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,3:00,Totalt i retning Kulltangen,7,1,6,3,2,1,0,0,0,3
Hydrovegen,17.03.2023,3:00,Totalt,14,5,9,5,3,1,0,0,0,4
Hydrovegen,17.03.2023,4:00,1,9,6,3,3,0,0,0,0,0,0
Hydrovegen,17.03.2023,4:00,2,6,0,6,2,4,0,0,0,0,4
Hydrovegen,17.03.2023,4:00,Totalt i retning Herøya industripark,9,6,3,3,0,0,0,0,0,0
Hydrovegen,17.03.2023,4:00,Totalt i retning Kulltangen,6,0,6,2,4,0,0,0,0,4
Hydrovegen,17.03.2023,4:00,Totalt,15,6,9,5,4,0,0,0,0,4
Hydrovegen,17.03.2023,5:00,1,7,6,1,0,0,0,1,1,0,1
Hydrovegen,17.03.2023,5:00,2,9,4,5,3,2,0,0,0,0,2
Hydrovegen,17.03.2023,5:00,Totalt i retning Herøya industripark,7,6,1,0,0,0,1,1,0,1
Hydrovegen,17.03.2023,5:00,Totalt i retning Kulltangen,9,4,5,3,2,0,0,0,0,2
Hydrovegen,17.03.2023,5:00,Totalt,16,10,6,3,2,0,1,1,0,3
Hydrovegen,17.03.2023,6:00,1,57,51,6,5,0,1,0,0,0,1
Hydrovegen,17.03.2023,6:00,2,19,15,4,2,2,0,0,0,0,2
Hydrovegen,17.03.2023,6:00,Totalt i retning Herøya industripark,57,51,6,5,0,1,0,0,0,1
Hydrovegen,17.03.2023,6:00,Totalt i retning Kulltangen,19,15,4,2,2,0,0,0,0,2
Hydrovegen,17.03.2023,6:00,Totalt,76,66,10,7,2,1,0,0,0,3
Hydrovegen,17.03.2023,7:00,1,404,381,23,8,7,6,2,2,0,15
Hydrovegen,17.03.2023,7:00,2,86,59,16,6,8,1,1,1,0,10
Hydrovegen,17.03.2023,7:00,Totalt i retning Herøya industripark,404,381,23,8,7,6,2,2,0,15
Hydrovegen,17.03.2023,7:00,Totalt i retning Kulltangen,86,59,16,6,8,1,1,1,0,10
Hydrovegen,17.03.2023,7:00,Totalt,490,440,39,14,15,7,3,3,0,25
Hydrovegen,17.03.2023,8:00,1,416,380,36,11,6,6,13,13,0,25
Hydrovegen,17.03.2023,8:00,2,86,57,17,10,3,3,1,1,0,7
Hydrovegen,17.03.2023,8:00,Totalt i retning Herøya industripark,416,380,36,11,6,6,13,13,0,25
Hydrovegen,17.03.2023,8:00,Totalt i retning Kulltangen,86,57,17,10,3,3,1,1,0,7
Hydrovegen,17.03.2023,8:00,Totalt,502,437,53,21,9,9,14,14,0,32
Hydrovegen,17.03.2023,9:00,1,228,195,33,11,10,6,6,6,0,22
Hydrovegen,17.03.2023,9:00,2,75,35,30,13,3,5,9,9,0,17
Hydrovegen,17.03.2023,9:00,Totalt i retning Herøya industripark,228,195,33,11,10,6,6,6,0,22
Hydrovegen,17.03.2023,9:00,Totalt i retning Kulltangen,75,35,30,13,3,5,9,9,0,17
Hydrovegen,17.03.2023,9:00,Totalt,303,230,63,24,13,11,15,15,0,39
Hydrovegen,17.03.2023,10:00,1,119,82,37,8,12,8,9,9,0,29
Hydrovegen,17.03.2023,10:00,2,85,45,39,19,3,3,14,14,0,20
Hydrovegen,17.03.2023,10:00,Totalt i retning Herøya industripark,119,82,37,8,12,8,9,9,0,29
Hydrovegen,17.03.2023,10:00,Totalt i retning Kulltangen,85,45,39,19,3,3,14,14,0,20
Hydrovegen,17.03.2023,10:00,Totalt,204,127,76,27,15,11,23,23,0,49
Hydrovegen,17.03.2023,11:00,1,118,76,42,10,12,8,12,12,0,32
Hydrovegen,17.03.2023,11:00,2,76,40,35,17,2,5,11,10,1,18
Hydrovegen,17.03.2023,11:00,Totalt i retning Herøya industripark,118,76,42,10,12,8,12,12,0,32
Hydrovegen,17.03.2023,11:00,Totalt i retning Kulltangen,76,40,35,17,2,5,11,10,1,18
Hydrovegen,17.03.2023,11:00,Totalt,194,116,77,27,14,13,23,22,1,50
Hydrovegen,17.03.2023,12:00,1,138,106,32,14,8,5,5,5,0,18
Hydrovegen,17.03.2023,12:00,2,144,85,53,36,10,2,5,5,0,17
Hydrovegen,17.03.2023,12:00,Totalt i retning Herøya industripark,138,106,32,14,8,5,5,5,0,18
Hydrovegen,17.03.2023,12:00,Totalt i retning Kulltangen,144,85,53,36,10,2,5,5,0,17
Hydrovegen,17.03.2023,12:00,Totalt,282,191,85,50,18,7,10,10,0,35
Hydrovegen,17.03.2023,13:00,1,133,89,44,15,14,4,11,11,0,29
Hydrovegen,17.03.2023,13:00,2,159,95,55,30,10,4,11,11,0,25
Hydrovegen,17.03.2023,13:00,Totalt i retning Herøya industripark,133,89,44,15,14,4,11,11,0,29
Hydrovegen,17.03.2023,13:00,Totalt i retning Kulltangen,159,95,55,30,10,4,11,11,0,25
Hydrovegen,17.03.2023,13:00,Totalt,292,184,99,45,24,8,22,22,0,54
Hydrovegen,17.03.2023,14:00,1,145,108,37,11,12,5,9,9,0,26
Hydrovegen,17.03.2023,14:00,2,201,124,65,43,6,3,13,13,0,22
Hydrovegen,17.03.2023,14:00,Totalt i retning Herøya industripark,145,108,37,11,12,5,9,9,0,26
Hydrovegen,17.03.2023,14:00,Totalt i retning Kulltangen,201,124,65,43,6,3,13,13,0,22
Hydrovegen,17.03.2023,14:00,Totalt,346,232,102,54,18,8,22,22,0,48
Hydrovegen,17.03.2023,15:00,1,115,86,29,10,13,2,4,4,0,19
Hydrovegen,17.03.2023,15:00,2,272,191,68,51,9,2,6,6,0,17
Hydrovegen,17.03.2023,15:00,Totalt i retning Herøya industripark,115,86,29,10,13,2,4,4,0,19
Hydrovegen,17.03.2023,15:00,Totalt i retning Kulltangen,272,191,68,51,9,2,6,6,0,17
Hydrovegen,17.03.2023,15:00,Totalt,387,277,97,61,22,4,10,10,0,36
Hydrovegen,17.03.2023,16:00,1,160,142,18,7,6,1,4,4,0,11
Hydrovegen,17.03.2023,16:00,2,342,250,75,68,3,0,4,4,0,7
Hydrovegen,17.03.2023,16:00,Totalt i retning Herøya industripark,160,142,18,7,6,1,4,4,0,11
Hydrovegen,17.03.2023,16:00,Totalt i retning Kulltangen,342,250,75,68,3,0,4,4,0,7
Hydrovegen,17.03.2023,16:00,Totalt,502,392,93,75,9,1,8,8,0,18
Hydrovegen,17.03.2023,17:00,1,108,95,13,5,7,1,0,0,0,8
Hydrovegen,17.03.2023,17:00,2,161,129,27,20,6,0,1,1,0,7
Hydrovegen,17.03.2023,17:00,Totalt i retning Herøya industripark,108,95,13,5,7,1,0,0,0,8
Hydrovegen,17.03.2023,17:00,Totalt i retning Kulltangen,161,129,27,20,6,0,1,1,0,7
Hydrovegen,17.03.2023,17:00,Totalt,269,224,40,25,13,1,1,1,0,15
Hydrovegen,17.03.2023,18:00,1,75,61,14,6,6,2,0,0,0,8
Hydrovegen,17.03.2023,18:00,2,72,56,15,7,5,2,1,1,0,8
Hydrovegen,17.03.2023,18:00,Totalt i retning Herøya industripark,75,61,14,6,6,2,0,0,0,8
Hydrovegen,17.03.2023,18:00,Totalt i retning Kulltangen,72,56,15,7,5,2,1,1,0,8
Hydrovegen,17.03.2023,18:00,Totalt,147,117,29,13,11,4,1,1,0,16
Hydrovegen,17.03.2023,19:00,1,78,70,8,0,8,0,0,0,0,8
Hydrovegen,17.03.2023,19:00,2,82,65,16,12,3,1,0,0,0,4
Hydrovegen,17.03.2023,19:00,Totalt i retning Herøya industripark,78,70,8,0,8,0,0,0,0,8
Hydrovegen,17.03.2023,19:00,Totalt i retning Kulltangen,82,65,16,12,3,1,0,0,0,4
Hydrovegen,17.03.2023,19:00,Totalt,160,135,24,12,11,1,0,0,0,12
Hydrovegen,17.03.2023,20:00,1,52,47,5,1,4,0,0,0,0,4
Hydrovegen,17.03.2023,20:00,2,47,30,17,11,2,2,2,2,0,6
Hydrovegen,17.03.2023,20:00,Totalt i retning Herøya industripark,52,47,5,1,4,0,0,0,0,4
Hydrovegen,17.03.2023,20:00,Totalt i retning Kulltangen,47,30,17,11,2,2,2,2,0,6
Hydrovegen,17.03.2023,20:00,Totalt,99,77,22,12,6,2,2,2,0,10
Hydrovegen,17.03.2023,21:00,1,31,27,4,2,2,0,0,0,0,2
Hydrovegen,17.03.2023,21:00,2,30,21,9,7,1,1,0,0,0,2
Hydrovegen,17.03.2023,21:00,Totalt i retning Herøya industripark,31,27,4,2,2,0,0,0,0,2
Hydrovegen,17.03.2023,21:00,Totalt i retning Kulltangen,30,21,9,7,1,1,0,0,0,2
Hydrovegen,17.03.2023,21:00,Totalt,61,48,13,9,3,1,0,0,0,4
Hydrovegen,17.03.2023,22:00,1,35,32,3,1,1,1,0,0,0,2
Hydrovegen,17.03.2023,22:00,2,18,15,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,22:00,Totalt i retning Herøya industripark,35,32,3,1,1,1,0,0,0,2
Hydrovegen,17.03.2023,22:00,Totalt i retning Kulltangen,18,15,3,2,1,0,0,0,0,1
Hydrovegen,17.03.2023,22:00,Totalt,53,47,6,3,2,1,0,0,0,3
Hydrovegen,17.03.2023,23:00,1,22,19,3,1,2,0,0,0,0,2
Hydrovegen,17.03.2023,23:00,2,28,20,7,5,0,2,0,0,0,2
Hydrovegen,17.03.2023,23:00,Totalt i retning Herøya industripark,22,19,3,1,2,0,0,0,0,2
